procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 2539664 129220 952472    0    0     4 20072  871 1187  4  4 85  6
 0  0      0 2539640 129220 952456    0    0     0 24000  967 1230  6  5 89  0
 0  0      0 2538904 129220 952860    0    0     0 24000  958 1265  6  4 89  0
 0  0      0 2539352 129220 952548    0    0     0 24000  978 1270  4  5 90  0
 0  0      0 2539640 129220 952640    0    0     0 24000  965 1266  6  5 88  0
 1  0      0 2545384 129228 946396    0    0     0 20056  930 1127  4  6 85  5
 0  0      0 2539464 129228 952568    0    0     0 24000  952 1232  7  4 89  0
 0  0      0 2539672 129228 952608    0    0     0 20000  846 1193  5  6 89  0
 0  0      0 2539820 129228 952568    0    0     0 24000  984 1294  7  5 88  0
 1  0      0 2539540 129228 952448    0    0     0 24024  982 1235  6  6 88  0
 1  1      0 2541284 129236 949896    0    0     0 20068  938 1064  5  4 86  5
 0  0      0 2539456 129236 952744    0    0     0 24000  932 1248  5  5 90  0
